"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5312","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","4.111686","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","6.553387","0","8"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","3.752529","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","3.325998","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","18","20","1","20.635599","0","20"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","2.419551","0","5"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","3.001986","0","4"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","4","1","1.706233","0","4"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","28","1","22.124418","0","28"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","7","1","4.613498","0","7"
"/CommonUI/VideoPlayerMaterial.VideoPlayerMaterial","0","12","12","1","4.722685","0","12"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","56","62","3","50.688797","0","62"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","14","14","1","6.623930","0","14"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","4","4","1","1.469796","0","4"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","10","11","1","9.649939","0","11"
"/ControlRig/M_Manip.M_Manip","0","10","11","1","5.579729","0","11"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","3.161975","0","4"
"/Engine/VREditor/LaserPointer/LaserPointerMaterial.LaserPointerMaterial","0","6","6","1","4.890523","0","6"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","69","69","3","75.476929","0","69"
"/Game/FirstPerson/FirstPersonArms/Character/Materials/M_Mannequin.M_Mannequin","0","56","60","2","65.805069","0","60"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","56","60","2","0.000000","0","60"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","27","29","1","26.549047","0","29"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","57","62","6","40.684582","0","62"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","35","35","1","31.923336","0","35"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","35","35","1","29.580311","0","35"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","35","35","1","0.000000","0","35"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","6.076530","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","6.233815","0","7"
"/Interchange/gltf/M_Sheen.M_Sheen","0","262","272","6","463.296387","0","272"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","45","45","1","29.492779","0","45"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","1.590074","0","5"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","14","1","16.233469","0","14"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","26","26","1","24.082029","0","26"
"/Game/FirstPerson/Blueprints/Weapon/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","35","35","1","9.702408","0","35"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","26","1","22.512493","0","26"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","1.737572","0","5"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","14","1","9.454481","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","1.720111","0","5"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","26","26","1","23.150043","0","26"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","262","272","6","562.038635","0","272"
"/Interchange/gltf/M_Default.M_Default","0","262","272","6","611.382690","0","272"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","23","23","1","18.593544","0","23"
